"Credit Card","Credit Card"
"Apple Pay","Apple Pay"
"Google Pay","Google Pay"
"WeChat Pay","WeChat Pay"
"Alipay","Alipay"
"Oceanpayment","Oceanpayment"
"Pay with Credit Card","Pay with Credit Card"
"Pay with Apple Pay","Pay with Apple Pay"
"Pay with Google Pay","Pay with Google Pay"
"Pay with WeChat Pay","Pay with WeChat Pay"
"Pay with Alipay","Pay with Alipay"
"Place Order","Place Order"
"Sandbox","Sandbox"
"Production","Production"
"Environment","Environment"
"Account","Account"
"Terminal","Terminal"
"Secure Code","Secure Code"
"Gateway URL","Gateway URL"
"Debug","Debug"
"Active","Active"
"Title","Title"
"Sort Order","Sort Order"
"Payment from Applicable Countries","Payment from Applicable Countries"
"Payment from Specific Countries","Payment from Specific Countries"
"Merchant Identifier","Merchant Identifier"
"Merchant ID","Merchant ID"
"Gateway Merchant ID","Gateway Merchant ID"
"General Settings","General Settings"
